formula,atom a,atom b,a,b,c,alpha,beta,gamma,bandgap,lowest distortion,vpa,mub,eform oxygen,e_form,e_hull,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,composition_oxid,minimum oxidation state,maximum oxidation state,range oxidation state,std_dev oxidation state
LaLiO3,La,Li,5.296,5.689,7.598,90,90,90,0.349,orthorhombic,11.446,0.4,-0.623,-2.263,0.275,La1 Li1 O3,3,57,54,16.8,16.08,8,1,87,86,55,38.4,87,6.941,138.90547,131.96447,38.768934,40.0546144,15.9994,54.8,1193,1138.2,362.218,368.9016,54.8,1,16,15,10.4,6.72,16,2,6,4,2.8,1.28,2,66,207,141,106.6,48.72,66,0.98,3.44,2.46,2.48,1.152,3.44,1,2,1,1.8,0.32,2,0,4,4,2.4,1.92,4,0,1,1,0.2,0.32,0,0,0,0,0,0,0,1,6,5,4.4,1.92,6,0,1,1,0.2,0.32,0,0,2,2,1.2,0.96,2,0,9,9,1.8,2.88,0,0,0,0,0,0,0,1,9,8,3.2,2.32,2,9.105,36.8975,27.7925,16.16116667,8.4674,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,91.8,95.76,12,La0+1 Li0+1 O0+3,0,0,0,0
GdCuO3,Gd,Cu,5.251,5.86,7.265,90,90,90,0,orthorhombic,11.178,0,0.875,-2.263,0.043,Gd1 Cu1 O3,8,64,56,23.4,18.48,8,27,87,60,70.4,19.92,87,15.9994,157.25,141.2506,53.75884,45.311328,15.9994,54.8,1586,1531.2,621.634,680.2008,54.8,3,16,13,12.4,4.32,16,2,6,4,3.2,1.44,2,66,196,130,105.2,47.04,66,1.2,3.44,2.24,2.684,0.9072,3.44,1,2,1,1.8,0.32,2,0,4,4,2.4,1.92,4,0,10,10,2.2,3.12,0,0,7,7,1.4,2.24,0,6,11,5,7.8,2.16,6,0,1,1,0.2,0.32,0,0,2,2,1.2,0.96,2,0,9,9,1.8,2.88,0,0,7,7,1.4,2.24,0,1,16,15,4.6,4.56,2,9.105,32.05,22.945,14.087,7.1852,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,91,94.8,12,Gd3+1 Cu3+1 O2-3,-2,3,5,3.273268354
ThPuO3,Th,Pu,4.785,4.785,4.785,90,90,90,0,cubic,21.917,1.168,-2.088,-2.262,1.504,Th1 Pu1 O3,8,94,86,41.6,40.32,8,16,87,71,60.2,32.16,87,15.9994,244,228.0006,104.807252,106.5694224,15.9994,54.8,2023,1968.2,620.08,678.336,54.8,3,16,13,10.8,6.24,16,2,7,5,4,2.4,2,66,206,140,118.2,62.64,66,1.28,3.44,2.16,2.58,1.032,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,2,2,0.4,0.64,0,0,6,6,1.2,1.92,0,4,8,4,6,0.8,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,8,8,1.6,2.56,0,0,8,8,1.6,2.56,0,2,8,6,4.4,2.88,2,9.105,32.37,23.265,15.553,7.7376,9.105,0,0,0,0,0,0,0,0.318003638,0.318003638,0.063600728,0.101761164,0,11,225,214,54.4,68.24,12,Th0+1 Pu0+1 O0+3,0,0,0,0
RbWO3,Rb,W,5.632,5.636,7.973,90,90,90,0,orthorhombic,12.654,-0.001,5.767,-2.262,0.115,Rb1 W1 O3,8,74,66,27,22.8,8,4,87,83,63.2,28.56,87,15.9994,183.84,167.8406,63.4612,56.95416,15.9994,54.8,3695,3640.2,834.372,1144.2512,54.8,1,16,15,11,6,16,2,6,4,3.4,1.68,2,66,220,154,116,60,66,0.82,3.44,2.62,2.7,0.888,3.44,1,2,1,1.8,0.32,2,0,4,4,2.4,1.92,4,0,4,4,0.8,1.28,0,0,14,14,2.8,4.48,0,1,20,19,7.8,4.88,6,0,1,1,0.2,0.32,0,0,2,2,1.2,0.96,2,0,6,6,1.2,1.92,0,0,0,0,0,0,0,1,6,5,2.6,1.36,2,9.105,90.7225,81.6175,26.8175,25.562,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,98.8,104.16,12,Rb+1 W5+1 O2-3,-2,5,7,3.683941988
ZnPmO3,Zn,Pm,5.494,5.734,8.386,90,90,90,0,orthorhombic,13.211,0.2,-4.559,-2.262,0.236,Zn1 Pm1 O3,8,61,53,23,18,8,21,87,66,70.2,20.16,87,15.9994,145,129.0006,51.67564,42.811488,15.9994,54.8,1373,1318.2,446.016,469.4592,54.8,3,16,13,12.6,4.08,16,2,6,4,3.2,1.44,2,66,199,133,103.8,45.36,66,1.155,3.44,2.285,2.625,0.978,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,10,10,2,3.2,0,0,5,5,1,1.6,0,6,12,6,7.4,1.84,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,0,0,0,0,0,0,9,9,1.8,2.88,0,0,9,9,3,2.4,2,9.105,33.8425,24.7375,15.0235,7.5276,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,194,182,84.8,87.36,12,Zn0+1 Pm0+1 O0+3,0,0,0,0
TlGdO3,Tl,Gd,5.826,5.908,8.517,90,90,90,0.896,orthorhombic,14.658,0.001,-3.09,-2.261,0.104,Tl1 Gd1 O3,8,81,73,33.8,30.96,8,27,87,60,72.8,18.32,87,15.9994,204.3833,188.3839,81.9263,79.11228,15.9994,54.8,1586,1531.2,465.48,492.816,54.8,3,16,13,12.8,3.92,16,2,6,4,3.6,1.92,2,66,196,130,107.8,50.16,66,1.2,3.44,2.24,2.628,0.9744,3.44,2,2,0,2,0,2,0,4,4,2.6,1.68,4,0,10,10,2.2,3.12,0,0,14,14,4.2,5.04,0,6,27,21,11,6.4,6,0,0,0,0,0,0,0,5,5,2.2,1.12,2,0,9,9,1.8,2.88,0,0,7,7,1.4,2.24,0,2,16,14,5.4,4.24,2,9.105,32.05,22.945,17.255,9.78,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,194,182,84.8,87.36,12,Tl3+1 Gd3+1 O2-3,-2,3,5,3.273268354
NaVO3,Na,V,3.673,3.673,3.961,90,90,90,0.38,tetragonal,10.687,0,2.295,-2.261,0.214,Na1 V1 O3,8,23,15,11.6,4.56,8,2,87,85,61.8,30.24,87,15.9994,50.9415,34.9421,24.38589386,10.62224246,15.9994,54.8,2183,2128.2,543.654,655.7384,54.8,1,16,15,10.8,6.24,16,2,4,2,2.6,0.72,2,66,166,100,103.4,44.88,66,0.93,3.44,2.51,2.576,1.0368,3.44,1,2,1,1.8,0.32,2,0,4,4,2.4,1.92,4,0,3,3,0.6,0.96,0,0,0,0,0,0,0,1,6,5,4.8,1.52,6,0,1,1,0.2,0.32,0,0,2,2,1.2,0.96,2,0,7,7,1.4,2.24,0,0,0,0,0,0,0,1,7,6,2.8,1.68,2,9.105,29.24333333,20.13833333,13.91366667,6.131866667,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,98.8,104.16,12,Na+1 V5+1 O2-3,-2,5,7,3.683941988
EuRuO3,Eu,Ru,5.413,5.571,7.738,90,90,90,0,orthorhombic,11.669,0.383,2.747,-2.26,-0.112,Eu1 Ru1 O3,8,63,55,26.2,21.84,8,25,87,62,68.4,22.32,87,15.9994,151.964,135.9646,60.20644,53.048448,15.9994,54.8,2607,2552.2,773.28,862.176,54.8,3,16,13,11.8,5.04,16,2,6,4,3.4,1.68,2,66,198,132,108.4,50.88,66,1.185,3.44,2.255,2.741,0.8388,3.44,1,2,1,1.8,0.32,2,0,4,4,2.4,1.92,4,0,7,7,1.4,2.24,0,0,7,7,1.4,2.24,0,6,9,3,7,1.2,6,0,1,1,0.2,0.32,0,0,2,2,1.2,0.96,2,0,3,3,0.6,0.96,0,0,7,7,1.4,2.24,0,2,7,5,3.4,1.68,2,9.105,36.46,27.355,15.457,8.4012,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,91.8,95.76,12,Eu2+1 Ru4+1 O2-3,-2,4,6,3.380617019
SmEuO3,Sm,Eu,4.268,4.268,4.268,90,90,90,0,cubic,15.547,0.117,-1.703,-2.26,0.949,Sm1 Eu1 O3,8,63,55,29.8,26.16,8,23,87,64,61.8,30.24,87,15.9994,151.964,135.9646,70.06444,64.878048,15.9994,54.8,1345,1290.2,520.88,559.296,54.8,3,16,13,10.8,6.24,16,2,6,4,3.6,1.92,2,66,198,132,118.8,63.36,66,1.17,3.44,2.27,2.535,1.086,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,0,0,0,0,0,0,7,7,2.6,3.12,0,6,9,3,7,1.2,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,0,0,0,0,0,0,8,8,3,3.6,0,2,8,6,4.2,2.64,2,9.105,36.46,27.355,19.401,12.3552,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,86.2,89.04,12,Sm3+1 Eu3+1 O2-3,-2,3,5,3.273268354
GdGeO3,Gd,Ge,3.881,3.881,3.881,90,90,90,0,cubic,11.688,0,2.902,-2.259,0.558,Gd1 Ge1 O3,8,64,56,24,19.2,8,27,87,60,73.4,18.56,87,15.9994,157.25,141.2506,55.57764,47.493888,15.9994,54.8,1586,1531.2,592.36,645.072,54.8,3,16,13,13,4,16,2,6,4,3.2,1.44,2,66,196,130,102.8,44.16,66,1.2,3.44,2.24,2.706,0.8808,3.44,2,2,0,2,0,2,0,4,4,2.8,1.44,4,0,10,10,2.2,3.12,0,0,7,7,1.4,2.24,0,6,14,8,8.4,2.88,6,0,0,0,0,0,0,0,4,4,2,0.8,2,0,9,9,1.8,2.88,0,0,7,7,1.4,2.24,0,2,16,14,5.2,4.32,2,9.105,32.05,22.945,16.474,8.8428,9.105,0,0.383,0.383,0.0766,0.12256,0,0,0,0,0,0,0,12,225,213,91,94.8,12,Gd3+1 Ge3+1 O2-3,-2,3,5,3.273268354
YCuO3,Y,Cu,5.237,5.899,7.174,90,90,90,0.374,orthorhombic,11.081,0,0.702,-2.259,0.048,Y1 Cu1 O3,8,39,31,18.4,12.48,8,12,87,75,67.4,23.52,87,15.9994,88.90585,72.90645,40.09001,28.908732,15.9994,54.8,1799,1744.2,664.234,731.3208,54.8,3,16,13,12.4,4.32,16,2,5,3,3,1.2,2,66,190,124,104,45.6,66,1.22,3.44,2.22,2.688,0.9024,3.44,1,2,1,1.8,0.32,2,0,4,4,2.4,1.92,4,0,10,10,2.2,3.12,0,0,0,0,0,0,0,3,11,8,6.4,1.84,6,0,1,1,0.2,0.32,0,0,2,2,1.2,0.96,2,0,9,9,1.8,2.88,0,0,0,0,0,0,0,1,9,8,3.2,2.32,2,9.105,32.365,23.26,14.15,7.286,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,91,94.8,12,Y3+1 Cu3+1 O2-3,-2,3,5,3.273268354
AlPaO3,Al,Pa,4.385,4.385,4.385,90,90,90,2.193,cubic,16.861,0,5.433,-2.259,0.768,Al1 Pa1 O3,8,91,83,25.6,26.16,8,18,87,69,70.4,20.96,87,15.9994,231.03586,215.03646,61.20311972,67.93309611,15.9994,54.8,1845,1790.2,588.574,640.5288,54.8,3,16,13,12.8,3.92,16,2,7,5,3.2,1.52,2,66,200,134,103.8,45.36,66,1.5,3.44,1.94,2.686,0.9048,3.44,2,2,0,2,0,2,0,4,4,2.6,1.68,4,0,1,1,0.2,0.32,0,0,2,2,0.4,0.64,0,3,6,3,5.2,0.96,6,0,0,0,0,0,0,0,5,5,2.2,1.12,2,0,9,9,1.8,2.88,0,0,12,12,2.4,3.84,0,2,21,19,6.4,5.84,2,9.105,25.18,16.075,13.795,5.628,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,80,81.6,12,Al3+1 Pa3+1 O2-3,-2,3,5,3.273268354
UCeO3,U,Ce,4.547,4.547,4.547,90,90,90,0,cubic,18.799,0.6,0.678,-2.258,1.221,U1 Ce1 O3,8,92,84,34.8,32.16,8,15,87,72,59.2,33.36,87,15.9994,238.02891,222.02951,85.228622,83.0750664,15.9994,54.8,1408,1353.2,528.68,568.656,54.8,3,16,13,10.8,6.24,16,2,7,5,3.8,2.16,2,66,204,138,119.6,64.32,66,1.12,3.44,2.32,2.564,1.0512,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,1,1,0.4,0.48,0,0,3,3,0.8,0.96,0,4,6,2,5.6,0.64,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,3.6,4.32,0,0,13,13,4.8,5.76,0,2,22,20,9.6,9.12,2,9.105,37.24,28.135,16.916,9.3732,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,194,182,58.6,55.92,12,U3+1 Ce3+1 O2-3,-2,3,5,3.273268354
ScMnO3,Sc,Mn,3.766,3.766,3.766,90,90,90,0,cubic,10.681,0.766,1.813,-2.257,0.655,Sc1 Mn1 O3,8,25,17,14,7.2,8,11,87,76,64.8,26.64,87,15.9994,54.938045,38.938645,29.5784314,16.29483768,15.9994,54.8,1814,1759.2,699.48,773.616,54.8,3,16,13,11.6,5.28,16,2,4,2,2.8,0.96,2,66,170,104,101.4,42.48,66,1.36,3.44,2.08,2.646,0.9528,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,1.2,1.52,0,0,0,0,0,0,0,3,7,4,5.6,1.04,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,2.8,3.36,0,0,0,0,0,0,0,2,9,7,4,2.4,2,9.105,22.235,13.13,12.00751724,4.090993103,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,6.33E-05,9.87E-05,0,12,217,205,89.4,92.88,12,Sc3+1 Mn3+1 O2-3,-2,3,5,3.273268354
ScPbO3,Sc,Pb,5.724,5.876,8.252,90,90,90,0,orthorhombic,13.876,0.001,0.46,-2.256,0.265,Sc1 Pb1 O3,8,82,74,25.4,22.64,8,11,87,76,70.6,23.84,87,15.9994,207.2,191.2006,60.0308224,58.86767104,15.9994,54.8,1814,1759.2,515.802,553.2024,54.8,3,16,13,13,4,16,2,6,4,3.2,1.44,2,66,170,104,102.8,44.16,66,1.36,3.44,2.08,2.802,0.7656,3.44,2,2,0,2,0,2,0,4,4,2.8,1.44,4,0,10,10,2.2,3.12,0,0,14,14,2.8,4.48,0,3,28,25,9.8,7.28,6,0,0,0,0,0,0,0,4,4,2,0.8,2,0,9,9,1.8,2.88,0,0,0,0,0,0,0,2,9,7,3.8,2.16,2,9.105,28.11,19.005,15.532,7.7124,9.105,0,0,0,0,0,0,0,6.35E-06,6.35E-06,1.27E-06,2.03E-06,0,12,225,213,91,94.8,12,Sc2+1 Pb4+1 O2-3,-2,4,6,3.380617019
YLiO3,Y,Li,5.023,5.772,7.226,90,90,90,0,orthorhombic,10.476,0.4,-1.332,-2.256,0.33,Y1 Li1 O3,3,39,36,13.2,10.32,8,1,87,86,54.8,38.64,87,6.941,88.90585,81.96485,28.76901,24.054736,15.9994,54.8,1799,1744.2,483.418,526.2328,54.8,1,16,15,10.4,6.72,16,2,5,3,2.6,0.96,2,66,190,124,103.2,44.64,66,0.98,3.44,2.46,2.504,1.1232,3.44,1,2,1,1.8,0.32,2,0,4,4,2.4,1.92,4,0,1,1,0.2,0.32,0,0,0,0,0,0,0,1,6,5,4.4,1.92,6,0,1,1,0.2,0.32,0,0,2,2,1.2,0.96,2,0,9,9,1.8,2.88,0,0,0,0,0,0,0,1,9,8,3.2,2.32,2,9.105,32.365,23.26,15.25466667,7.3796,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,91.8,95.76,12,Y0+1 Li0+1 O0+3,0,0,0,0
HfAgO3,Hf,Ag,5.04,5.386,9.549,90,90,90,0,orthorhombic,12.96,0,-2.601,-2.256,0.153,Hf1 Ag1 O3,8,72,64,28.6,24.72,8,45,87,42,74.2,15.36,87,15.9994,178.49,162.4906,66.87128,61.046256,15.9994,54.8,2506,2451.2,781.066,871.5192,54.8,4,16,12,12.6,4.08,16,2,6,4,3.4,1.68,2,66,175,109,103.6,45.12,66,1.3,3.44,2.14,2.71,0.876,3.44,1,2,1,1.8,0.32,2,0,4,4,2.4,1.92,4,0,10,10,2.4,3.04,0,0,14,14,2.8,4.48,0,6,18,12,9.4,4.08,6,0,1,1,0.2,0.32,0,0,2,2,1.2,0.96,2,0,8,8,1.6,2.56,0,0,0,0,0,0,0,1,8,7,3,2,2,9.105,22.2,13.095,13.169,4.8768,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,91,94.8,12,Hf4+1 Ag2+1 O2-3,-2,4,6,3.380617019
UFeO3,U,Fe,3.898,3.898,3.898,90,90,90,0,cubic,11.842,1.57,2.177,-2.256,0.644,U1 Fe1 O3,8,92,84,28.4,25.44,8,20,87,67,67.2,23.76,87,15.9994,238.02891,222.02951,68.374422,67.8617952,15.9994,54.8,1811,1756.2,676.68,746.256,54.8,3,16,13,11.8,5.04,16,2,7,5,3.4,1.68,2,66,196,130,105.2,47.04,66,1.38,3.44,2.06,2.706,0.8808,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,6,6,1.4,1.84,0,0,3,3,0.6,0.96,0,6,8,2,6.4,0.64,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,2.6,3.12,0,0,11,11,2.2,3.52,0,2,20,18,6,5.6,2,9.105,20.025,10.92,11.614,3.3644,9.105,0,0,0,0,0,0,0,2.1106628,2.1106628,0.42213256,0.675412096,0,12,229,217,65.6,65.36,12,U3+1 Fe3+1 O2-3,-2,3,5,3.273268354
EuBiO3,Eu,Bi,5.807,6.071,8.373,90,90,90,0,orthorhombic,14.761,0,1.429,-2.255,-0.106,Eu1 Bi1 O3,8,83,75,34,31.2,8,25,87,62,74.4,19.76,87,15.9994,208.9804,192.981,81.78852,78.946944,15.9994,54.8,1095,1040.2,360.76,367.152,54.8,3,16,13,13.2,4.08,16,2,6,4,3.6,1.92,2,66,198,132,108.8,51.36,66,1.185,3.44,2.255,2.705,0.882,3.44,2,2,0,2,0,2,0,4,4,3,1.2,4,0,10,10,2,3.2,0,0,14,14,4.2,5.04,0,6,29,23,11.2,7.12,6,0,0,0,0,0,0,0,3,3,1.8,0.72,2,0,0,0,0,0,0,0,7,7,1.4,2.24,0,2,7,5,3.2,1.52,2,9.105,36.46,27.355,19.345,12.288,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,55.4,69.44,12,Eu3+1 Bi3+1 O2-3,-2,3,5,3.273268354
LaIrO3,La,Ir,5.466,5.894,7.908,90,90,90,0.809,orthorhombic,12.737,0,0.504,-2.255,0.085,La1 Ir1 O3,8,77,69,31.6,28.32,8,13,87,74,66.8,24.24,87,15.9994,192.217,176.2176,75.824134,71.7896808,15.9994,54.8,2739,2684.2,819.28,917.376,54.8,3,16,13,12,4.8,16,2,6,4,3.6,1.92,2,66,207,141,109.2,51.84,66,1.1,3.44,2.34,2.724,0.8592,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,7,7,1.6,2.16,0,0,14,14,2.8,4.48,0,3,23,20,8.8,5.68,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,2.4,2.88,0,0,0,0,0,0,0,2,9,7,3.6,2.16,2,9.105,36.8975,27.7925,15.6845,8.4852,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,91,94.8,12,La3+1 Ir3+1 O2-3,-2,3,5,3.273268354
ZnPrO3,Zn,Pr,5.493,5.873,8.743,90,90,90,0.655,orthorhombic,14.103,0.2,-4.902,-2.255,0.193,Zn1 Pr1 O3,8,59,51,22.6,17.52,8,17,87,70,69.4,21.12,87,15.9994,140.90765,124.90825,50.85717,41.829324,15.9994,54.8,1204,1149.2,412.216,428.8992,54.8,3,16,13,12.6,4.08,16,2,6,4,3.2,1.44,2,66,203,137,104.6,46.32,66,1.13,3.44,2.31,2.62,0.984,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,10,10,2,3.2,0,0,3,3,0.6,0.96,0,5,12,7,7,2,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,0,0,0,0,0,0,11,11,2.2,3.52,0,0,11,11,3.4,3.04,2,9.105,35.675,26.57,15.39,8.114,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,194,182,84.8,87.36,12,Zn2+1 Pr4+1 O2-3,-2,4,6,3.380617019
BaTcO3,Ba,Tc,5.699,5.699,5.699,60,60,60,0,rhombohedral,13.076,0.065,4.347,-2.254,0.056,Ba1 Tc1 O3,8,56,48,24.6,19.92,8,9,87,78,64.6,26.88,87,15.9994,137.327,121.3276,56.66504,48.798768,15.9994,54.8,2430,2375.2,718.88,796.896,54.8,2,16,14,11.4,5.52,16,2,6,4,3.4,1.68,2,66,215,149,112,55.2,66,0.89,3.44,2.55,2.622,0.9816,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,1,1.6,0,0,0,0,0,0,0,2,7,5,5.4,1.36,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,5,5,1,1.6,0,0,0,0,0,0,0,0,5,5,2.2,1.12,2,9.105,63.59,54.485,21.038,17.0208,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,91.8,95.76,12,Ba2+1 Tc4+1 O2-3,-2,4,6,3.380617019
ZrErO3,Zr,Er,4.196,4.196,4.196,90,90,90,0,cubic,14.777,0.199,-4.042,-2.252,1.34,Zr1 Er1 O3,8,68,60,26.4,22.08,8,35,87,52,68,22.8,87,15.9994,167.259,151.2596,61.29624,54.356208,15.9994,54.8,2128,2073.2,812.48,909.216,54.8,3,16,13,11,6,16,2,6,4,3.4,1.68,2,66,189,123,112.4,55.68,66,1.24,3.44,2.2,2.578,1.0344,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,2,2,0.4,0.64,0,0,12,12,2.4,3.84,0,4,14,10,7.2,2.72,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,8,8,1.6,2.56,0,0,2,2,0.4,0.64,0,2,8,6,3.2,1.92,2,9.105,30.585,21.48,16.219,8.5368,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,194,182,84.8,87.36,12,Zr3+1 Er3+1 O2-3,-2,3,5,3.273268354
NaMoO3,Na,Mo,3.886,3.886,3.886,90,90,90,0,cubic,11.739,0,4.698,-2.251,0.013,Na1 Mo1 O3,8,42,34,15.4,10.64,8,2,87,85,62.6,29.28,87,15.9994,95.96,79.9606,33.38959386,25.02816246,15.9994,54.8,2896,2841.2,686.254,883.8984,54.8,1,16,15,11,6,16,2,5,3,2.8,0.96,2,66,166,100,103.6,45.12,66,0.93,3.44,2.51,2.682,0.9096,3.44,1,2,1,1.6,0.48,2,0,4,4,2.4,1.92,4,0,5,5,1,1.6,0,0,0,0,0,0,0,1,6,5,5,1.6,6,0,1,1,0.4,0.48,0,0,2,2,1.2,0.96,2,0,5,5,1,1.6,0,0,0,0,0,0,0,1,6,5,2.6,1.36,2,9.105,29.24333333,20.13833333,14.44966667,6.4136,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,98.8,104.16,12,Na+1 Mo5+1 O2-3,-2,5,7,3.683941988
HoMoO3,Ho,Mo,3.949,3.949,3.949,90,90,90,0,cubic,12.312,0.005,1.541,-2.251,0.655,Ho1 Mo1 O3,8,67,59,26.6,22.32,8,33,87,54,68.8,21.84,87,15.9994,164.93032,148.93092,61.777704,54.9339648,15.9994,54.8,2896,2841.2,961.48,1088.016,54.8,3,16,13,11.4,5.52,16,2,6,4,3.4,1.68,2,66,192,126,108.8,51.36,66,1.23,3.44,2.21,2.742,0.8376,3.44,1,2,1,1.8,0.32,2,0,4,4,2.4,1.92,4,0,5,5,1,1.6,0,0,11,11,2.2,3.52,0,6,13,7,7.4,2.24,6,0,1,1,0.2,0.32,0,0,2,2,1.2,0.96,2,0,5,5,1,1.6,0,0,3,3,0.6,0.96,0,2,6,4,3,1.2,2,9.105,30.73333333,21.62833333,14.74766667,6.7712,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,91.8,95.76,12,Ho3+1 Mo3+1 O2-3,-2,3,5,3.273268354
